sample.id	fam	sex	BT
2391	NA	2	3.62326150301166
1068	NA	2	3.21612284743396
546	NA	2	3.12988077934084
356	NA	2	3.10645930492123
1334	NA	2	3.00473983603926
534	279	2	2.96145632434446
279	NA	2	2.77908671123502
1745	NA	2	2.41196835217702
2402	NA	2	2.39877802121736
1278	NA	2	2.39798988505807
2467	NA	2	2.37641615708868
1142	NA	2	2.35293186509253
260	NA	2	2.3330339394353
496	211	2	2.32132647465816
1	NA	2	2.2838087000529
2387	NA	2	2.2276259469581
1942	NA	2	2.21246787638104
1458	1270	2	2.14391639314514
527	NA	2	2.11612651814195
1101	NA	2	2.08965928089789
1794	NA	2	2.06912364779482
2292	NA	2	2.06441325537499
193	NA	2	2.05527572843697
102	NA	2	2.04824428420865
1825	NA	2	2.04221042891128
238	NA	2	2.03965314293194
2339	NA	2	2.01445520201043
1011	NA	2	2.01238929121572
1756	NA	2	2.00248550181841
1792	1394	2	1.97899217885204
2053	NA	2	1.97230650700256
1892	NA	2	1.96710444233877
1487	NA	2	1.96665077826325
1835	NA	2	1.95522121337561
1855	NA	2	1.94772207115833
2066	NA	2	1.93787654824632
1820	NA	2	1.92670535355679
1819	NA	2	1.9110525377216
2076	NA	2	1.90085263539335
2043	NA	2	1.88382772969629
2338	NA	2	1.88045297064117
159	NA	2	1.85335788537163
1731	NA	2	1.85016697276035
439	NA	2	1.82393061316795
578	NA	2	1.82389849324206
2437	NA	2	1.81504562629564
430	NA	2	1.80032237586026
1805	NA	2	1.78817968817989
763	781	2	1.78780007270499
2379	NA	2	1.77029788260426
1775	911	2	-1.70356912980403
1194	622	2	-1.70634994906819
1448	1186	2	-1.71064460130871
1625	691	2	-1.73390772330272
1282	NA	2	-1.75089494546214
2431	NA	2	-1.75760309543428
1199	679	2	-1.76340194295535
1001	NA	2	-1.77590540911736
84	NA	2	-1.77637326612713
1250	NA	2	-1.77853385892048
1821	NA	2	-1.80346752800895
2087	NA	2	-1.82711560406571
912	911	2	-1.83137358999212
1463	NA	2	-1.84692317066005
1229	NA	2	-1.86032331061249
109	NA	2	-1.87604275662562
775	NA	2	-1.87862382576355
1219	NA	2	-1.87898641620356
973	NA	2	-1.88788741926846
44	NA	2	-1.91627251731717
1948	NA	2	-1.9250256391549
1462	803	2	-1.9700637776432
769	719	2	-2.01011594642779
810	NA	2	-2.01547928957948
1906	1219	2	-2.0217507974035
1703	1473	2	-2.02483409794744
974	NA	2	-2.06020868522967
1262	NA	2	-2.13869069551707
1677	NA	2	-2.14595690478923
535	745	2	-2.15588513793252
1044	NA	2	-2.17793288628989
1151	NA	2	-2.1784381873773
1903	1463	2	-2.18148141517965
1069	NA	2	-2.19057808819035
1907	1265	2	-2.19352869866908
1196	622	2	-2.2172435455228
70	NA	2	-2.23480390896463
865	769	2	-2.25909280157364
1911	1433	2	-2.32488622042473
1265	1264	2	-2.33635256472014
1244	NA	2	-2.3485499186088
1569	NA	2	-2.42884584947969
1778	1421	2	-2.46430175800749
679	622	2	-2.52179384604169
1570	1569	2	-2.54605444451278
911	NA	2	-2.84284192527861
622	NA	2	-2.88418634129592
1195	622	2	-3.06273071710473
112	NA	2	-3.16143527775027
175	NA	2	-3.59776763673674
