chr	start	end	sample.id	state
25	6463188	6475943	1068	3
1	98166149	98184039	1068	3
4	67895958	67938901	1068	3
8	30702029	30722351	1334	3
2	877347	942971	1334	3
1	98147555	98186543	546	3
11	18831412	18839377	546	3
1	98169428	98186543	2391	3
1	100728444	100730748	356	0
8	4121283	4193189	1195	3
1	100727703	100730748	112	0
10	19062731	19096193	112	3
27	2299391	2308228	175	3
8	4122253	4193189	175	3
18	1278467	1381090	622	3
8	4121283	4188293	622	3
11	18836038	18842972	911	3
1	98147555	98171009	911	3
21	3326720	3329134	911	0
